arquivo_original,arquivo_saida,status,hash_sha256
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Shaker_0_20.wav,audio/00000_counting_whook_stem_102_f_minor_shaker_0_20.wav,sucesso,00f85c09ae0f4ad55c32ead339dd102fd9dd31b08947b78d24e311ed434c1470
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Shaker_1_19.wav,audio/00000_counting_whook_stem_102_f_minor_shaker_1_19.wav,sucesso,335bf36711fb57efaa61c5895ae548a9770b444918698b6728ba4996df51668c
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Snare_0_21.wav,audio/00000_counting_whook_stem_102_f_minor_snare_0_21.wav,sucesso,6654a7ff0ebd9e2eb3d2cadcc326d3aeea5f97e26bbc3fcff41f818fd2850974
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Synthesizer_0_13.wav,audio/00000_counting_whook_stem_102_f_minor_synthesizer_0_13.wav,sucesso,4c87d1eebe95316bb51bd3da06869315fb1d5cfd5827c87a10a9fc04d294ad81
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Synthesizer_2_22.wav,audio/00000_counting_whook_stem_102_f_minor_synthesizer_2_22.wav,sucesso,f14eda9ba98ecff0dbd475013ba0195eca1b8c77dd0cf231a1b7026d994fc9e3
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Vocals_0_24.wav,audio/00000_counting_whook_stem_102_f_minor_vocals_0_24.wav,sucesso,0d256d88e779bdd35d4455fc3e6714c0675b78ae4a8b6bfbb90c4f61ae270274
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor-stem/#00000 - Counting_Whook - stem - 102 - F minor - Vocals_1_25.wav,audio/00000_counting_whook_stem_102_f_minor_vocals_1_25.wav,sucesso,f3b3d9f1a8116b38808db6580feb101ee71551dc4c5aa7b24c5d1776097be807
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor.mp3,audio/00000_counting_whook_102_f_minor.mp3,sucesso,da215d3b933ed0ad1ec9604ac51e7560043e456bcbe03b8447977f843f377575
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Counting_Whook - 102 - F minor.wav,audio/00000_counting_whook_102_f_minor.wav,sucesso,447f8459dcd423a99411e642ff86898c06550291db0da87d596ed9871c1b5511
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Arpeggiator_0_0.wav,audio/00000_falsa_stem_94_a_major_arpeggiator_0_0.wav,sucesso,84de86f53af7214e88624e1d2adc043e2f53d32591eb68e72ddf4f3e80e7da06
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Bass_0_1.wav,audio/00000_falsa_stem_94_a_major_bass_0_1.wav,sucesso,f9dab3316aedfb246c486ea081938dda7130b6c24a4e2cb052b0017068ddbe2d
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Bell_0_2.wav,audio/00000_falsa_stem_94_a_major_bell_0_2.wav,sucesso,4f1097acc56231668b5a145a75d01ff4bdbd9dcf70cb628ea61d5ba6c175f445
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Chord_0_3.wav,audio/00000_falsa_stem_94_a_major_chord_0_3.wav,sucesso,41b13cf39bd977be39a3eee3b69640e78285ae3b56f3f3e6f0b2e47d7a601244
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Fill_0_5.wav,audio/00000_falsa_stem_94_a_major_fill_0_5.wav,sucesso,5ad7e373512714b547e9b27c79efb123e73ac741f7c0ba1b18e937274be82885
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Hi-Hat_0_6.wav,audio/00000_falsa_stem_94_a_major_hi_hat_0_6.wav,sucesso,04ca938994ad8ebf1c68d60b728f6ecd282b4d19bf2ba3cb7784338135bb7783
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Keys_0_7.wav,audio/00000_falsa_stem_94_a_major_keys_0_7.wav,sucesso,d22e41de92f7446314fef0aed7f2de75f9b1789b38082eb22ba8b48b690f4ff3
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Kick Drum_0_8.wav,audio/00000_falsa_stem_94_a_major_kick_drum_0_8.wav,sucesso,652ceb98e181d9a528cc24b01604d5d0a051ed58863acf90f26ac28b84121de0
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Pad_0_9.wav,audio/00000_falsa_stem_94_a_major_pad_0_9.wav,sucesso,508ad9862bbc505f6eb7c10ac58e03d51b31ddbe6f8db83d46e3c338a3e34b89
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Pad_1_10.wav,audio/00000_falsa_stem_94_a_major_pad_1_10.wav,sucesso,d5c5d251b295e1dfd42a2c70eed13df33b63f36d47fe9825706594a5066c1215
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Rim Shot_0_11.wav,audio/00000_falsa_stem_94_a_major_rim_shot_0_11.wav,sucesso,18861ea766697d3a41ce5201a3f0b37a24cd8e77f43178262c1495954dec707f
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Shaker_0_12.wav,audio/00000_falsa_stem_94_a_major_shaker_0_12.wav,sucesso,fd8decaa27e772d65dd90baf13948e009ae522a3ba822ffbc81866cc51af4b2c
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Snare_0_13.wav,audio/00000_falsa_stem_94_a_major_snare_0_13.wav,sucesso,2c1aef397a6b1076675ca15d543cf5932ac0b01dca2e8b2cc204fd467d8b013b
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Sub Bass_1_4.wav,audio/00000_falsa_stem_94_a_major_sub_bass_1_4.wav,sucesso,b1b6688b1e54dd75a4f6e4411abf74f16d4135cb5466fd3bfc4af7467fb74000
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Transition_0_14.wav,audio/00000_falsa_stem_94_a_major_transition_0_14.wav,sucesso,61005075b9b539161e2ab51e9720ed70584895ebe2faf2cb3cf3758ac939f3be
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major-stem/#00000 - Falsa - stem - 94 - A major - Vocals_0_15.wav,audio/00000_falsa_stem_94_a_major_vocals_0_15.wav,sucesso,ed307113efa3dcf3610d5b714823a342a47758e8f5cb5c1b39a5a23197138e48
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major.mp3,audio/00000_falsa_94_a_major.mp3,sucesso,daae652c1f8bc6fdcd67e65bd95ee72380dc74d496a8bf47038c59bf0395985b
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - Falsa - 94 - A major.wav,audio/00000_falsa_94_a_major.wav,sucesso,a4ce126678ee210a0263cb203613b8ef8835af256fadd4b13499725a7e0d186c
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - First_Class_True2 - 95 - F minor-stem/#00000 - First_Class_True2 - stem - 95 - F minor - Clarinet_0_2.wav,audio/00000_first_class_true2_stem_95_f_minor_clarinet_0_2.wav,sucesso,1ccd64dc27cbd821fc74184432eac48bc01eb649983ccc22117ec94493ab7b99
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - First_Class_True2 - 95 - F minor-stem/#00000 - First_Class_True2 - stem - 95 - F minor - Clarinet_1_4.wav,audio/00000_first_class_true2_stem_95_f_minor_clarinet_1_4.wav,sucesso,a93323541f948135c75cc39b2ba4a27ffaee0705c3c4ced854ad583f059e2e3e
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - First_Class_True2 - 95 - F minor-stem/#00000 - First_Class_True2 - stem - 95 - F minor - Clarinet_2_7.wav,audio/00000_first_class_true2_stem_95_f_minor_clarinet_2_7.wav,sucesso,ed36f474b9b6a8dbc923c4cff8be0e971037af03d3babea41cc7c3db09f61540
gs://beatriz-temp/beatpulse-multistems/Afro House/#00000 - First_Class_True2 - 95 - F minor-stem/#00000 - First_Class_True2 - stem - 95 - F minor - Clarinet_3_8.wav,audio/00000_first_class_true2_stem_95_f_minor_clarinet_3_8.wav,sucesso,59fa94f28eb2e14fc983e4f97e5d5a3861d99c50d8f80662a356475f2a061867
